"Site","SamplingDate","PlantYr","Nrate","Block","Plot","DryBM.Mg.ha.","Nrate.IS","Wp","GrowingSeason","GS","StandAge","GS.Age.ID","GS.Age.Wp.ID","Location"
"SERF",2016-02-22,"2015 PlantYear",400,"I",3,6.677,448,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",0,"I",4,4.969,0,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",200,"I",5,4.973,224,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",100,"II",26,2.749,112,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",400,"II",27,6.334,448,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",0,"II",28,6.901,0,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",300,"II",29,5.8,336,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",200,"II",30,6.972,224,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",100,"III",41,4.032,112,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",300,"III",42,5.308,336,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",200,"III",43,4.782,224,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",0,"III",44,3.346,0,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",400,"III",45,5.19,448,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",300,"IV",51,8.254,336,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",100,"IV",52,7.409,112,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",400,"IV",53,7.487,448,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",200,"IV",54,4.399,224,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",0,"IV",55,6.61,0,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","SE Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",100,"I",1,7.421,112,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",300,"I",2,9.041,336,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",400,"I",3,7.449,448,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",0,"I",4,3.424,0,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",200,"I",5,4.917,224,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",100,"II",26,6.839,112,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",400,"II",27,8.671,448,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",0,"II",28,2.489,0,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",300,"II",29,5.543,336,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",200,"II",30,6.918,224,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",100,"III",41,7.519,112,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",300,"III",42,10.842,336,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",200,"III",43,10.099,224,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",0,"III",44,3.519,0,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",400,"III",45,6.289,448,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",300,"IV",51,8.521,336,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",100,"IV",52,6.314,112,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",400,"IV",53,8.223,448,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",200,"IV",54,9.356,224,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","Central Iowa"
"Sorenson",2016-03-11,"2015 PlantYear",0,"IV",55,4.288,0,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","Central Iowa"
"Allee",2017-02-16,"2015 PlantYear",100,"I",1,18.86589563,112,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",300,"I",2,15.57852063,336,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",400,"I",3,16.95834925,448,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",0,"I",4,17.95297235,0,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",200,"I",5,20.83036239,224,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",400,"I",6,5.077375,448,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",0,"I",7,4.402694118,0,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",300,"I",8,3.469226667,336,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",200,"I",9,4.435704,224,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",100,"I",10,3.369790909,112,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",100,"II",16,3.627056604,112,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",400,"II",17,5.343394737,448,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",200,"II",18,6.200493827,224,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",0,"II",19,6.217909524,0,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",300,"II",20,4.163080645,336,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",100,"II",26,20.75653614,112,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",400,"II",27,19.69476923,448,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",0,"II",28,22.67503988,0,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",300,"II",29,23.6767,336,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",200,"II",30,26.69284615,224,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",100,"III",36,4.750142857,112,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",400,"III",37,4.723946429,448,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",300,"III",38,2.751463415,336,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",0,"III",39,2.641325581,0,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",200,"III",40,3.076684615,224,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",100,"III",41,19.78801685,112,"III 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIII 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",300,"III",42,22.69333404,336,"III 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIII 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",200,"III",43,20.77425828,224,"III 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIII 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",0,"III",44,21.13840102,0,"III 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIII 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",400,"III",45,18.75326425,448,"III 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIII 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",300,"IV",51,18.81509938,336,"IV 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIV 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",100,"IV",52,19.37446269,112,"IV 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIV 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",400,"IV",53,23.17616667,448,"IV 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIV 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",200,"IV",54,24.75413194,224,"IV 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIV 2015","NW Iowa"
"Allee",2017-02-16,"2015 PlantYear",0,"IV",55,23.04684375,0,"IV 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIV 2015","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",0,"IV",56,7.310833333,0,"IV 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIV 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",300,"IV",57,7.24865625,336,"IV 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIV 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",400,"IV",58,4.099644928,448,"IV 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIV 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",100,"IV",59,4.627692308,112,"IV 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIV 2016","NW Iowa"
"Allee",2017-02-16,"2016 PlantYear",200,"IV",60,7.486612022,224,"IV 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIV 2016","NW Iowa"
"SERF",2017-03-07,"2015 PlantYear",100,"I",1,12.8413125,112,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",300,"I",2,12.21429518,336,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",400,"I",3,14.73105848,448,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",0,"I",4,12.55676,0,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",200,"I",5,10.48758865,224,"I 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpI 2015","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",400,"I",6,9.573854015,448,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",0,"I",7,7.572168067,0,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",300,"I",8,8.035075704,336,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",200,"I",9,5.81875,224,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",100,"I",10,7.6463875,112,"I 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpI 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",100,"II",16,4.272211538,112,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",400,"II",17,8.265517188,448,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",200,"II",18,5.75417963,224,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",0,"II",19,9.000325203,0,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",300,"II",20,8.613958621,336,"II 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpII 2016","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",100,"II",26,12.77312883,112,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",400,"II",27,12.04702045,448,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",0,"II",28,14.48866667,0,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",300,"II",29,8.538430725,336,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",200,"II",30,13.75795862,224,"II 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpII 2015","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",100,"III",36,5.942673267,112,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",400,"III",37,6.010310714,448,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",300,"III",38,6.538212121,336,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",0,"III",39,6.783652174,0,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","SE Iowa"
"SERF",2017-03-07,"2016 PlantYear",200,"III",40,10.59756757,224,"III 2016","2016 GrowingSeason","2016 GS","1 yr old","2016 GS - 1 yr old","2016 GS - 1 yr old x WpIII 2016","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",100,"III",41,14.22479024,112,"III 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIII 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",300,"III",42,14.83798071,336,"III 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIII 2015","SE Iowa"
"SERF",2017-03-07,"2015 PlantYear",200,"III",43,12.19044425,224,"III 2015","2016 GrowingSeason","2016 GS","2 yr old","2016 GS - 2 yr old","2016 GS - 2 yr old x WpIII 2015","SE Iowa"
